Ticker symbol,Security,Sector,Industry,Headquarters,CIK
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",899866
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",6951
AME,Ametek,Industrials,Electrical Components and Equipment,"Berwyn, Pennsylvania",1037868
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",1004434
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",318154
AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota",820027
AMT,American Tower Corp A,Financials,REITs,"Boston, Massachusetts",1053507
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington",1018724
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",350698
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",315293
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6769
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",773910
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",2969
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",820313
ARG,Airgas Inc,Materials,Industrial Gases,"Radnor, Pennsylvania",804212
ATI,Allegheny Technologies Inc,Materials,Diversified Metals & Mining,"Pittsburgh, Pennsylvania",1018963
AVB,"AvalonBay Communities, Inc.",Financials,REITs,"Arlington, Virginia[1]",915912
AVGO,Avago Technologies,Information Technology,Semiconductors,"San Jose, California",1441634
AVP,Avon Products,Consumer Staples,Personal Products,"New York, New York",8868
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",8818
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",4962
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",866787
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",12927
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",70858
BAX,Baxter International Inc.,Health Care,Health Care Equipment & Services,"Deerfield, Illinois",10456
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,"Union, New Jersey",886158
BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina",92230
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",764478
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey",9892
BDX,Becton Dickinson,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey",10795
BEN,Franklin Resources,Financials,Diversified Financial Services,"San Mateo, California",38777
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas",808362
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",875045
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York",1390777
BLK,BlackRock,Financials,Diversified Financial Services,"New York, New York",1364742
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",9389
BMS,Bemis Company,Materials,Paper Packaging,"Neenah, Wisconsin",11199
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors & Services,"New York, New York",14272
BRCM,Broadcom Corporation,Information Technology,Semiconductors,"Irvine, California",1054374
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983
BSX,Boston Scientific,Health Care,Health Care Equipment & Services,"Marlborough, Massachusetts[2]",885725
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",908255
BXP,Boston Properties,Financials,REITs,"Boston, Massachusetts",1037540
C,Citigroup Inc.,Financials,Banks,"New York, New York",831001
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",356028
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",23217
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors & Services,"Dublin, Ohio",721371
CAM,Cameron International Corp.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",941548
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",18230
CB,Chubb Corp.,Financials,Property & Casualty Insurance,"Warren, New Jersey",20171
CBG,CBRE Group,Financials,Real Estate Management & Development,"Los Angeles, California",1138118
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",813828
CCE,Coca-Cola Enterprises,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1491675
CCI,Crown Castle International Corp.,Financials,REITs,"Houston, Texas",1051470
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",815097
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",816284
CERN,Cerner,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1324404
CFN,Carefusion,Health Care,Health Care Equipment & Services,"San Diego, California[3]",1457543
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",895126
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",701221
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",21665
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",21076
CMA,Comerica Inc.,Financials,Banks,"Dallas, Texas",28412
CMCSA,Comcast Corp.,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",1166691
CME,CME Group Inc.,Financials,Diversified Financial Services,"Chicago, Illinois",1156375
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",1058090
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",26172
CMS,CMS Energy,Utilities,Multi-Utilities & Unregulated Power,"Jackson, Michigan",811156
CNP,CenterPoint Energy,Utilities,Multi-Utilities & Unregulated Power,"Houston, Texas",1130310
CNX,CONSOL Energy Inc.,Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania",1070412
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",927628
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",858470
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1116132
COL,Rockwell Collins,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",1137411
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1163165
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",909832
COV,Covidien plc,Health Care,Health Care Equipment & Services,"Dublin, Ireland",1385187
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",16732
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",1108524
CSC,Computer Sciences Corp.,Information Technology,IT Consulting & Services,"Falls Church, Virginia",23082
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",858877
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",277948
CTAS,Cintas Corporation,Industrials,Diversified Commercial Services,"Mason, Ohio",723254
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",18926
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",1058290
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",877890
CVC,Cablevision Systems Corp.,Consumer Discretionary,Broadcasting & Cable TV,"Bethpage, New York",1053112
CVS,CVS Caremark Corp.,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",64803
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",93410
D,Dominion Resources,Utilities,Multi-Utilities & Unregulated Power,"Richmond, Virginia",715957
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",27904
DD,Du Pont (E.I.),Materials,Diversified Chemicals,"Wilmington, Delaware",30554
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",315189
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",1393612
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",29534
DGX,Quest Diagnostics,Health Care,Health Care Facilities,"Madison, New Jersey",1022079
DHI,D. R. Horton,Consumer Discretionary,Construction,"Fort Worth, Texas",882184
DHR,Danaher Corp.,Industrials,Industrial Machinery,Washington D.C,313616
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",1001039
DISCA,Discovery Communications-A,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",1437107
DISCK,Discovery Communications-C,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",1437107
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",1521332
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",935703
DNB,Dun & Bradstreet,Industrials,Data Processing Services,"Short Hills, New Jersey",1115222
DNR,Denbury Resources Inc.,Energy,Oil & Gas Exploration & Production,"Plano, Texas",945764
DO,Diamond Offshore Drilling,Energy,Oil & Gas Drilling,"Houston, Texas",949039
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",29905
DOW,Dow Chemical,Materials,Diversified Chemicals,"Midland, Michigan",29915
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",1418135
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",940944
DTE,DTE Energy Co.,Utilities,Multi-Utilities & Unregulated Power,"Detroit, Michigan",936340
DTV,DirecTV,Consumer Discretionary,Broadcasting & Cable TV,"El Segundo, California",1465112
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1326160
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",927066
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1090012
EA,Electronic Arts,Information Technology,Application Software,"Redwood City, California",712515
EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",31462
ED,Consolidated Edison,Utilities,Multi-Utilities & Unregulated Power,"New York, New York",1047862
EFX,Equifax Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",33185
EIX,Edison Int'l,Utilities,Multi-Utilities & Unregulated Power,"Rosemead, California",827052
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1001250
EMC,EMC Corp.,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",790070
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",915389
EMR,Emerson Electric,Industrials,Industrial Conglomerates,"Ferguson, Missouri",32604
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189
EQR,Equity Residential,Financials,REITs,"Chicago, Illinois",906107
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",33213
ESRX,Express Scripts,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",1532063
ESS,Essex Property Trust Inc,Financials,Residential REITs,"Palo Alto, California",920522
ESV,Ensco plc,Energy,Oil & Gas Drilling,"London, United Kingdom",314808
ETFC,E-Trade,Financials,Diversified Financial Services,"New York, New York",1015780
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,"Dublin, Ireland",1551182
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",65984
EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,"Irvine, California",1099800
EXC,Exelon Corp.,Utilities,Multi-Utilities & Unregulated Power,"Chicago, Illinois",1109357
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,"Seattle, Washington",746515
EXPE,Expedia Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",1324424
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",815556
FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",1326801
FCX,Freeport-McMoran Cp & Gld,Materials,Diversified Metals & Mining,"Phoenix, Arizona",831259
FDO,Family Dollar Stores,Consumer Discretionary,General Merchandise Stores,"Matthews, North Carolina",34408
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911
FE,FirstEnergy Corp,Utilities,Multi-Utilities & Unregulated Power,"Akron, Ohio",1031296
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",1048695
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",1136893
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",798354
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",35527
FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon",354908
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",1124198
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",30625
FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",37785
FOSL,"Fossil, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Richardson, Texas",883569
FOXA,Twenty-First Century Fox,Consumer Discretionary,Publishing,"New York, New York",1308161
FSLR,First Solar Inc,Energy,Heavy Electrical Equipment,"Tempe, Arizona",1274494
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1135152
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",20520
GAS,AGL Resources Inc.,Utilities,Gas Utilities,"Atlanta, Georgia",1004155
GCI,Gannett Co.,Consumer Discretionary,Publishing,"McLean, Virginia",39899
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",40533
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",40545
GGP,General Growth Properties Inc.,Financials,REITs,"Chicago, Illinois",895648
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",882095
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704
GLW,Corning Inc.,Industrials,Construction & Engineering,"Corning, New York",24741
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858
GMCR,Keurig Green Mountain,Consumer Staples,Packaged Foods & Meats,"Waterbury, Vermont",909954
GME,GameStop Corp.,Consumer Discretionary,Specialty Stores,"Grapevine, Texas",1326380
GNW,Genworth Financial Inc.,Financials,Life & Health Insurance,"Richmond, Virginia",1276520
GOOG,Google Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",1288776
GOOGL,Google Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",1288776
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",40987
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788
GS,Goldman Sachs Group,Financials,Diversified Financial Services,"New York, New York",886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",42582
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois",277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",800459
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080
HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio",49196
HCBK,Hudson City Bancorp,Financials,Banks,"Paramus, New Jersey",921847
HCN,"Health Care REIT, Inc.",Financials,REITs,"Toledo, Ohio[4]",766704
HCP,HCP Inc.,Financials,REITs,"Long Beach, California",765880
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Cobb County, Georgia",354950
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",4447
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",793952
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",773840
HOT,Starwood Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","White Plains, New York",316206
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",46765
HPQ,Hewlett-Packard,Information Technology,Computer Hardware,"Palo Alto, California",47217
HRB,Block H&R,Financials,Consumer Finance,"Kansas City, Missouri",12659
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida",202058
HSP,Hospira Inc.,Health Care,Health Care Equipment & Services,"Lake Forest, Illinois",1274057
HST,Host Hotels & Resorts,Financials,REITs,"Bethesda, Maryland",1070750
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",49071
IBM,International Bus. Machines,Information Technology,IT Consulting & Services,"Armonk, New York",51143
ICE,IntercontinentalExchange Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",1571949
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",51253
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",50863
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",896878
IP,International Paper,Materials,Paper Products,"Memphis, Tennessee",51434
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",51644
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland",1466258
IRM,Iron Mountain Incorporated,Industrials,Data Processing Services,"Boston, Massachusetts",1020569
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,"Sunnyvale, California",1035267
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",49826
IVZ,Invesco Ltd.,Financials,Diversified Financial Services,"Atlanta, Georgia",914208
JCI,Johnson Controls,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin",53669
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California",52988
JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey",200406
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",1043604
JOY,Joy Global Inc.,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",801898
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",19617
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",72333
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",55067
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",91576
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",879101
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",319201
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",55785
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1506307
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",1170010
KO,The Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",21344
KORS,Michael Kors,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1530721
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",1545158
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",885639
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",54480
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",60086
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",701985
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",920760
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",920148
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",1056239
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",791907
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478
LM,Legg Mason,Financials,Diversified Financial Services,"Baltimore, Maryland",704051
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina",1424847
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",707549
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",96223
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",92380
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",794323
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",1489393
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",794367
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",1141391
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",912242
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1048286
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",62996
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",63276
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",63908
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",827054
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California",927653
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",1059556
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",1103982
MDT,Medtronic Inc.,Health Care,Health Care Equipment & Services,"Fridley, Minnesota",64670
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",1099219
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York",64040
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",851968
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",1452575
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",63754
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",916076
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",62709
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
MNK,Mallinckrodt plc,Health Care,Pharmaceuticals,"Dublin, Ireland",1567892
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",865752
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",764180
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",1110783
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",1285785
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",1510295
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",310158
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",101778
MS,Morgan Stanley,Financials,Diversified Financial Services,"New York, New York",895421
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",789019
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",68505
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",36270
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",723125
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",717423
MWV,MeadWestvaco Corporation,Materials,Paper Packaging,"Richmond, Virginia",1159297
